epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.968299,1.04037,2.72249,1.29081,0.60934,0.8616,0.88789,0.62036,1.39605,1.28873,1.24685,0,0,0
2,1.41651,1.25148,2.96625,1.61942,0.58949,0.88355,0.88781,0.61518,1.39747,1.30732,1.24681,6.0095e-07,6.0095e-07,6.0095e-07
